tool		Java Ranger 2025	Java Ranger 2025	Java Ranger 2025	Java Ranger 2025
run set		SVCOMP-ReachSafety-Java.ReachSafety-Java	SVCOMP-ReachSafety-Java.ReachSafety-Java	SVCOMP-ReachSafety-Java.ReachSafety-Java	SVCOMP-ReachSafety-Java.ReachSafety-Java
../../Desktop/OSS/sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)
jayhorn-recursive/Ackermann01.yml	false	false	6.710186	2.309482263000973	498.819072
jayhorn-recursive/Addition.yml	true				
jayhorn-recursive/InfiniteLoop.yml	false				
jayhorn-recursive/SatAckermann01.yml	true				
jayhorn-recursive/SatAckermann02.yml	true				
jayhorn-recursive/SatAckermann03.yml	true				
jayhorn-recursive/SatAddition01.yml	true				
jayhorn-recursive/SatEvenOdd01.yml	true				
jayhorn-recursive/SatFibonacci01.yml	true				
jayhorn-recursive/SatFibonacci02.yml	true				
jayhorn-recursive/SatFibonacci03.yml	true				
jayhorn-recursive/SatGcd.yml	true				
jayhorn-recursive/SatHanoi01.yml	true				
jayhorn-recursive/SatMccarthy91.yml	true				
jayhorn-recursive/SatMultCommutative01.yml	true				
jayhorn-recursive/SatPrimes01.yml	true				
jayhorn-recursive/UnsatAckermann01.yml	false				
jayhorn-recursive/UnsatAddition01.yml	false				
jayhorn-recursive/UnsatAddition02.yml	false				
jayhorn-recursive/UnsatEvenOdd01.yml	false				
jayhorn-recursive/UnsatFibonacci01.yml	false				
jayhorn-recursive/UnsatFibonacci02.yml	false				
jayhorn-recursive/UnsatMccarthy91.yml	false				
jbmc-regression/ArithmeticException1.yml	false				
jbmc-regression/ArithmeticException5.yml	true				
jbmc-regression/ArithmeticException6.yml	false				
jbmc-regression/ArrayIndexOutOfBoundsException1.yml	false				
jbmc-regression/ArrayIndexOutOfBoundsException2.yml	false				
jbmc-regression/ArrayIndexOutOfBoundsException3.yml	false				
jbmc-regression/BufferedReaderReadLine.yml	false				
jbmc-regression/CharSequenceBug.yml	false				
jbmc-regression/CharSequenceToString.yml	true				
jbmc-regression/ClassCastException1.yml	false				
jbmc-regression/ClassCastException2.yml	true				
jbmc-regression/ClassCastException3.yml	false				
jbmc-regression/Class_method1.yml	true				
jbmc-regression/Inheritance1.yml	true				
jbmc-regression/NegativeArraySizeException1.yml	false				
jbmc-regression/NegativeArraySizeException2.yml	false				
jbmc-regression/NullPointerException1.yml	true				
jbmc-regression/NullPointerException2.yml	false				
jbmc-regression/NullPointerException3.yml	false				
jbmc-regression/NullPointerException4.yml	false				
jbmc-regression/RegexMatches01.yml	true				
jbmc-regression/RegexMatches02.yml	false				
jbmc-regression/RegexSubstitution01.yml	true				
jbmc-regression/RegexSubstitution02.yml	false				
jbmc-regression/RegexSubstitution03.yml	true				
jbmc-regression/StaticCharMethods01.yml	true				
jbmc-regression/StaticCharMethods02.yml	false				
jbmc-regression/StaticCharMethods03.yml	false				
jbmc-regression/StaticCharMethods04.yml	false				
jbmc-regression/StaticCharMethods05.yml	false				
jbmc-regression/StaticCharMethods06.yml	true				
jbmc-regression/StringBuilderAppend01.yml	true				
jbmc-regression/StringBuilderAppend02.yml	false				
jbmc-regression/StringBuilderCapLen01.yml	true				
jbmc-regression/StringBuilderCapLen02.yml	false				
jbmc-regression/StringBuilderCapLen03.yml	false				
jbmc-regression/StringBuilderCapLen04.yml	false				
jbmc-regression/StringBuilderChars01.yml	true				
jbmc-regression/StringBuilderChars02.yml	false				
jbmc-regression/StringBuilderChars03.yml	false				
jbmc-regression/StringBuilderChars04.yml	false				
jbmc-regression/StringBuilderChars05.yml	false				
jbmc-regression/StringBuilderChars06.yml	false				
jbmc-regression/StringBuilderConstructors01.yml	true				
jbmc-regression/StringBuilderConstructors02.yml	false				
jbmc-regression/StringBuilderInsertDelete01.yml	true				
jbmc-regression/StringBuilderInsertDelete02.yml	false				
jbmc-regression/StringBuilderInsertDelete03.yml	false				
jbmc-regression/StringCompare01.yml	true				
jbmc-regression/StringCompare02.yml	false				
jbmc-regression/StringCompare03.yml	false				
jbmc-regression/StringCompare04.yml	false				
jbmc-regression/StringCompare05.yml	false				
jbmc-regression/StringConcatenation01.yml	true				
jbmc-regression/StringConcatenation02.yml	false				
jbmc-regression/StringConcatenation03.yml	false				
jbmc-regression/StringConcatenation04.yml	false				
jbmc-regression/StringConstructors01.yml	true				
jbmc-regression/StringConstructors02.yml	false				
jbmc-regression/StringConstructors03.yml	false				
jbmc-regression/StringConstructors04.yml	false				
jbmc-regression/StringConstructors05.yml	false				
jbmc-regression/StringContains01.yml	false				
jbmc-regression/StringContains02.yml	false				
jbmc-regression/StringIndexMethods01.yml	true				
jbmc-regression/StringIndexMethods02.yml	false				
jbmc-regression/StringIndexMethods03.yml	false				
jbmc-regression/StringIndexMethods04.yml	false				
jbmc-regression/StringIndexMethods05.yml	false				
