   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Sun, 2026-06-28 23:25:11 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                                                       false                            6.35        2.46        None
jayhorn-recursive/Addition.yml                                                                                          unknown                        475.79      129.15        None
jayhorn-recursive/InfiniteLoop.yml                                                                                      false                            7.41        2.60        None
jayhorn-recursive/SatAckermann01.yml                                                                                    unknown                        801.11      214.14        None
jayhorn-recursive/SatAckermann02.yml                                                                                    unknown                        489.18      136.66        None
jayhorn-recursive/SatAckermann03.yml                                                                                    unknown                        440.90      124.91        None
jayhorn-recursive/SatAddition01.yml                                                                                     unknown                        521.67      142.07        None
jayhorn-recursive/SatEvenOdd01.yml                                                                                      true                            42.75       20.01        None
jayhorn-recursive/SatFibonacci01.yml                                                                                    true                           824.22      730.07        None
jayhorn-recursive/SatFibonacci02.yml                                                                                    true                             2.16        1.09        None
jayhorn-recursive/SatFibonacci03.yml                                                                                    true                           838.54      751.28        None
jayhorn-recursive/SatGcd.yml                                                                                            unknown                        475.08      127.65        None
jayhorn-recursive/SatHanoi01.yml                                                                                        true                           807.23      461.73        None
jayhorn-recursive/SatMccarthy91.yml                                                                                     true                           811.81      771.43        None
jayhorn-recursive/SatMultCommutative01.yml                                                                              unknown                        468.44      132.19        None
jayhorn-recursive/SatPrimes01.yml                                                                                       unknown                        498.54      134.89        None
jayhorn-recursive/UnsatAckermann01.yml                                                                                  unknown                        801.14      215.66        None
jayhorn-recursive/UnsatAddition01.yml                                                                                   unknown                        548.86      149.79        None
jayhorn-recursive/UnsatAddition02.yml                                                                                   unknown                        800.48      212.35        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                                                    false                            8.00        2.73        None
jayhorn-recursive/UnsatFibonacci01.yml                                                                                  false                            8.28        2.83        None
jayhorn-recursive/UnsatFibonacci02.yml                                                                                  false                            8.50        2.96        None
jayhorn-recursive/UnsatMccarthy91.yml                                                                                   false                            7.75        2.71        None
jbmc-regression/ArithmeticException1.yml                                                                                false                            2.64        1.14        None
jbmc-regression/ArithmeticException5.yml                                                                                true                             2.28        0.98        None
jbmc-regression/ArithmeticException6.yml                                                                                false                            2.69        1.13        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                                                     false                            7.40        2.67        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                                                     false                            7.71        2.61        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                                                     false                            2.62        1.11        None
jbmc-regression/BufferedReaderReadLine.yml                                                                              false                            7.87        2.76        None
jbmc-regression/CharSequenceBug.yml                                                                                     false                            8.04        2.76        None
jbmc-regression/CharSequenceToString.yml                                                                                true                             7.71        2.68        None
jbmc-regression/ClassCastException1.yml                                                                                 false                            2.28        0.96        None
jbmc-regression/ClassCastException2.yml                                                                                 true                             2.33        0.99        None
jbmc-regression/ClassCastException3.yml                                                                                 false                            2.26        0.96        None
jbmc-regression/Class_method1.yml                                                                                       true                             2.22        0.96        None
jbmc-regression/Inheritance1.yml                                                                                        true                             2.26        0.98        None
jbmc-regression/NegativeArraySizeException1.yml                                                                         false                            2.27        0.97        None
jbmc-regression/NegativeArraySizeException2.yml                                                                         false                            2.33        1.00        None
jbmc-regression/NullPointerException1.yml                                                                               true                             2.46        1.06        None
jbmc-regression/NullPointerException2.yml                                                                               false                            2.38        1.03        None
jbmc-regression/NullPointerException3.yml                                                                               false                            2.36        1.01        None
jbmc-regression/NullPointerException4.yml                                                                               false                            2.46        1.05        None
jbmc-regression/RegexMatches01.yml                                                                                      true                             2.57        1.11        None
jbmc-regression/RegexMatches02.yml                                                                                      unknown                          2.46        1.05        None
jbmc-regression/RegexSubstitution01.yml                                                                                 true                             2.80        1.19        None
jbmc-regression/RegexSubstitution02.yml                                                                                 unknown                          2.81        1.23        None
jbmc-regression/RegexSubstitution03.yml                                                                                 true                             2.66        1.15        None
jbmc-regression/StaticCharMethods01.yml                                                                                 true                             2.37        1.01        None
jbmc-regression/StaticCharMethods02.yml                                                                                 false                            8.14        2.92        None
jbmc-regression/StaticCharMethods03.yml                                                                                 unknown                          7.83        2.62        None
jbmc-regression/StaticCharMethods04.yml                                                                                 false                            7.79        2.73        None
jbmc-regression/StaticCharMethods05.yml                                                                                 unknown                          2.45        1.03        None
jbmc-regression/StaticCharMethods06.yml                                                                                 unknown                          9.51        3.30        None
jbmc-regression/StringBuilderAppend01.yml                                                                               true                             8.91        3.12        None
jbmc-regression/StringBuilderAppend02.yml                                                                               unknown                          2.71        1.18        None
jbmc-regression/StringBuilderCapLen01.yml                                                                               true                             2.83        1.23        None
jbmc-regression/StringBuilderCapLen02.yml                                                                               false                            3.30        1.41        None
jbmc-regression/StringBuilderCapLen03.yml                                                                               false                            9.75        3.53        None
jbmc-regression/StringBuilderCapLen04.yml                                                                               unknown                          2.42        1.04        None
jbmc-regression/StringBuilderChars01.yml                                                                                true                             2.47        1.07        None
jbmc-regression/StringBuilderChars02.yml                                                                                false                            2.77        1.19        None
jbmc-regression/StringBuilderChars03.yml                                                                                unknown                          2.41        1.05        None
jbmc-regression/StringBuilderChars04.yml                                                                                unknown                          2.44        1.05        None
jbmc-regression/StringBuilderChars05.yml                                                                                unknown                          2.40        1.04        None
jbmc-regression/StringBuilderChars06.yml                                                                                unknown                          2.49        1.05        None
jbmc-regression/StringBuilderConstructors01.yml                                                                         true                             8.13        2.87        None
jbmc-regression/StringBuilderConstructors02.yml                                                                         unknown                          2.47        1.07        None
jbmc-regression/StringBuilderInsertDelete01.yml                                                                         true                             2.65        1.13        None
jbmc-regression/StringBuilderInsertDelete02.yml                                                                         unknown                          2.36        1.02        None
jbmc-regression/StringBuilderInsertDelete03.yml                                                                         unknown                          2.36        1.01        None
jbmc-regression/StringCompare01.yml                                                                                     true                             2.30        0.99        None
jbmc-regression/StringCompare02.yml                                                                                     unknown                          2.37        1.02        None
jbmc-regression/StringCompare03.yml                                                                                     unknown                          2.34        1.00        None
jbmc-regression/StringCompare04.yml                                                                                     unknown                          2.36        1.01        None
jbmc-regression/StringCompare05.yml                                                                                     false                            7.46        2.65        None
jbmc-regression/StringConcatenation01.yml                                                                               true                             3.23        1.41        None
jbmc-regression/StringConcatenation02.yml                                                                               false                            2.87        1.21        None
jbmc-regression/StringConcatenation03.yml                                                                               false                            2.99        1.27        None
jbmc-regression/StringConcatenation04.yml                                                                               false                            2.85        1.18        None
jbmc-regression/StringConstructors01.yml                                                                                true                             2.54        1.07        None
jbmc-regression/StringConstructors02.yml                                                                                false                            2.85        1.24        None
jbmc-regression/StringConstructors03.yml                                                                                false                            2.76        1.18        None
jbmc-regression/StringConstructors04.yml                                                                                false                            2.84        1.21        None
jbmc-regression/StringConstructors05.yml                                                                                false                            2.69        1.15        None
jbmc-regression/StringContains01.yml                                                                                    false                            2.61        1.10        None
jbmc-regression/StringContains02.yml                                                                                    false                            2.84        1.21        None
jbmc-regression/StringIndexMethods01.yml                                                                                true                             2.40        1.03        None
jbmc-regression/StringIndexMethods02.yml                                                                                false                            8.01        2.80        None
jbmc-regression/StringIndexMethods03.yml                                                                                unknown                          7.75        2.77        None
jbmc-regression/StringIndexMethods04.yml                                                                                false                            8.00        2.88        None
jbmc-regression/StringIndexMethods05.yml                                                                                unknown                          8.80        3.00        None
jbmc-regression/StringMiscellaneous01.yml                                                                               true                             2.60        1.10        None
jbmc-regression/StringMiscellaneous02.yml                                                                               false                            7.76        2.67        None
jbmc-regression/StringMiscellaneous03.yml                                                                               false                            9.24        3.27        None
jbmc-regression/StringMiscellaneous04.yml                                                                               true                             2.46        1.04        None
jbmc-regression/StringStartEnd01.yml                                                                                    true                             2.60        1.11        None
jbmc-regression/StringStartEnd02.yml                                                                                    false                            2.99        1.31        None
jbmc-regression/StringStartEnd03.yml                                                                                    false                            2.94        1.23        None
jbmc-regression/StringValueOf01.yml                                                                                     true                             2.40        1.04        None
jbmc-regression/StringValueOf02.yml                                                                                     false                            2.72        1.16        None
jbmc-regression/StringValueOf03.yml                                                                                     false                            2.40        1.04        None
jbmc-regression/StringValueOf04.yml                                                                                     false                            2.69        1.16        None
jbmc-regression/StringValueOf05.yml                                                                                     false                            7.40        2.70        None
jbmc-regression/StringValueOf06.yml                                                                                     false                            2.81        1.20        None
jbmc-regression/StringValueOf07.yml                                                                                     unknown                          2.53        1.09        None
jbmc-regression/StringValueOf08.yml                                                                                     unknown                          2.62        1.12        None
jbmc-regression/StringValueOf09.yml                                                                                     unknown                          2.47        1.07        None
jbmc-regression/StringValueOf10.yml                                                                                     false                            2.80        1.18        None
jbmc-regression/SubString01.yml                                                                                         true                             2.28        0.97        None
jbmc-regression/SubString02.yml                                                                                         false                            2.83        1.21        None
jbmc-regression/SubString03.yml                                                                                         false                            2.99        1.24        None
jbmc-regression/TokenTest01.yml                                                                                         true                             2.51        1.07        None
jbmc-regression/TokenTest02.yml                                                                                         unknown                          2.39        1.03        None
jbmc-regression/Validate01.yml                                                                                          true                             2.57        1.14        None
jbmc-regression/Validate02.yml                                                                                          unknown                          2.45        1.03        None
jbmc-regression/aastore_aaload1.yml                                                                                     true                            14.73        6.53        None
jbmc-regression/array1.yml                                                                                              unknown                         14.36        5.47        None
jbmc-regression/array2.yml                                                                                              true                             8.31        2.82        None
jbmc-regression/arraylength1.yml                                                                                        unknown                          9.30        3.12        None
jbmc-regression/arrayread1.yml                                                                                          unknown                          8.19        2.97        None
jbmc-regression/assert1.yml                                                                                             true                             8.47        3.00        None
jbmc-regression/assert2.yml                                                                                             false                            8.13        2.82        None
jbmc-regression/assert3.yml                                                                                             false                            7.89        2.80        None
jbmc-regression/assert4.yml                                                                                             false                            7.91        2.77        None
jbmc-regression/assert5.yml                                                                                             true                             7.89        2.69        None
jbmc-regression/assert6.yml                                                                                             true                             7.27        2.59        None
jbmc-regression/astore_aload1.yml                                                                                       true                             2.66        1.12        None
jbmc-regression/athrow1.yml                                                                                             false                            2.55        1.11        None
jbmc-regression/basic1.yml                                                                                              true                             2.52        1.07        None
jbmc-regression/bitwise1.yml                                                                                            true                             7.88        2.84        None
jbmc-regression/boolean1.yml                                                                                            true                             8.72        3.24        None
jbmc-regression/boolean2.yml                                                                                            true                             7.80        2.73        None
jbmc-regression/bug-test-gen-095.yml                                                                                    false                            2.89        1.23        None
jbmc-regression/bug-test-gen-119-2.yml                                                                                  true                             2.49        1.04        None
jbmc-regression/bug-test-gen-119.yml                                                                                    true                             7.46        2.65        None
jbmc-regression/calc.yml                                                                                                unknown                          7.90        2.78        None
jbmc-regression/cast1.yml                                                                                               true                            82.89       77.32        None
jbmc-regression/catch1.yml                                                                                              true                             2.33        0.98        None
jbmc-regression/char1.yml                                                                                               true                             7.15        2.54        None
jbmc-regression/charArray.yml                                                                                           unknown                          6.81        2.46        None
jbmc-regression/classtest1.yml                                                                                          true                             2.22        0.97        None
jbmc-regression/const1.yml                                                                                              true                             2.13        0.91        None
jbmc-regression/constructor1.yml                                                                                        true                             2.26        1.00        None
jbmc-regression/enum1.yml                                                                                               true                             2.32        1.02        None
jbmc-regression/exceptions1.yml                                                                                         false                            2.20        0.95        None
jbmc-regression/exceptions10.yml                                                                                        false                            2.37        1.00        None
jbmc-regression/exceptions11.yml                                                                                        false                            2.29        1.00        None
jbmc-regression/exceptions12.yml                                                                                        false                            2.28        0.99        None
jbmc-regression/exceptions13.yml                                                                                        false                            2.27        1.00        None
jbmc-regression/exceptions14.yml                                                                                        true                             2.26        0.96        None
jbmc-regression/exceptions15.yml                                                                                        true                             2.24        0.96        None
jbmc-regression/exceptions16.yml                                                                                        false                            2.22        0.95        None
jbmc-regression/exceptions18.yml                                                                                        true                             2.31        0.99        None
jbmc-regression/exceptions2.yml                                                                                         false                            2.27        0.99        None
jbmc-regression/exceptions3.yml                                                                                         false                            2.30        0.98        None
jbmc-regression/exceptions4.yml                                                                                         true                             2.42        1.01        None
jbmc-regression/exceptions5.yml                                                                                         true                             2.41        1.01        None
jbmc-regression/exceptions6.yml                                                                                         false                            2.54        1.07        None
jbmc-regression/exceptions7.yml                                                                                         false                            2.46        1.06        None
jbmc-regression/exceptions8.yml                                                                                         false                            2.62        1.10        None
jbmc-regression/exceptions9.yml                                                                                         true                             2.45        1.06        None
jbmc-regression/fcmpx_dcmpx1.yml                                                                                        true                             3.22        1.43        None
jbmc-regression/iarith1.yml                                                                                             true                             3.09        1.36        None
jbmc-regression/iarith2.yml                                                                                             true                             2.41        1.02        None
jbmc-regression/if_acmp1.yml                                                                                            true                             2.58        1.11        None
jbmc-regression/if_expr1.yml                                                                                            true                             7.75        2.71        None
jbmc-regression/if_icmp1.yml                                                                                            true                             8.16        2.78        None
jbmc-regression/ifxx1.yml                                                                                               true                             2.34        1.00        None
jbmc-regression/instanceof1.yml                                                                                         true                             2.29        0.98        None
jbmc-regression/instanceof2.yml                                                                                         true                             2.28        1.00        None
jbmc-regression/instanceof3.yml                                                                                         true                             2.37        1.01        None
jbmc-regression/instanceof4.yml                                                                                         true                             2.30        0.98        None
jbmc-regression/instanceof5.yml                                                                                         true                             2.38        1.03        None
jbmc-regression/instanceof6.yml                                                                                         true                             2.37        1.01        None
jbmc-regression/instanceof7.yml                                                                                         true                             2.34        1.02        None
jbmc-regression/instanceof8.yml                                                                                         true                             2.26        0.96        None
jbmc-regression/interface1.yml                                                                                          false                            2.32        0.99        None
