   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Tue, 2026-06-30 22:35:20 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                                                       false                            7.15        2.80        None
jayhorn-recursive/Addition.yml                                                                                          unknown                        584.91      157.52        None
jayhorn-recursive/InfiniteLoop.yml                                                                                      false                            8.29        3.28        None
jayhorn-recursive/SatAckermann01.yml                                                                                    unknown                        498.09      140.66        None
jayhorn-recursive/SatAckermann02.yml                                                                                    unknown                        800.45      216.85        None
jayhorn-recursive/SatAckermann03.yml                                                                                    unknown                        505.81      142.47        None
jayhorn-recursive/SatAddition01.yml                                                                                     unknown                        608.43      166.69        None
jayhorn-recursive/SatEvenOdd01.yml                                                                                      true                            48.28       23.09        None
jayhorn-recursive/SatFibonacci01.yml                                                                                    true                           833.44      735.79        None
jayhorn-recursive/SatFibonacci02.yml                                                                                    true                             2.58        1.15        None
jayhorn-recursive/SatFibonacci03.yml                                                                                    true                           842.23      751.58        None
jayhorn-recursive/SatGcd.yml                                                                                            unknown                        550.69      148.59        None
jayhorn-recursive/SatHanoi01.yml                                                                                        true                           808.06      471.51        None
jayhorn-recursive/SatMccarthy91.yml                                                                                     true                           809.69      770.70        None
jayhorn-recursive/SatMultCommutative01.yml                                                                              unknown                        800.50      213.30        None
jayhorn-recursive/SatPrimes01.yml                                                                                       unknown                        563.50      152.38        None
jayhorn-recursive/UnsatAckermann01.yml                                                                                  unknown                        800.82      217.69        None
jayhorn-recursive/UnsatAddition01.yml                                                                                   unknown                        800.52      212.83        None
jayhorn-recursive/UnsatAddition02.yml                                                                                   unknown                        566.72      154.95        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                                                    false                            9.00        3.08        None
jayhorn-recursive/UnsatFibonacci01.yml                                                                                  false                            8.99        3.25        None
jayhorn-recursive/UnsatFibonacci02.yml                                                                                  false                           10.44        3.58        None
jayhorn-recursive/UnsatMccarthy91.yml                                                                                   false                            9.57        3.36        None
jbmc-regression/ArithmeticException1.yml                                                                                false                            3.35        1.42        None
jbmc-regression/ArithmeticException5.yml                                                                                true                             2.74        1.19        None
jbmc-regression/ArithmeticException6.yml                                                                                false                            3.09        1.33        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                                                     false                            8.61        3.06        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                                                     false                            8.93        3.16        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                                                     false                            2.98        1.30        None
jbmc-regression/BufferedReaderReadLine.yml                                                                              false                            9.14        3.11        None
jbmc-regression/CharSequenceBug.yml                                                                                     false                            8.70        3.11        None
