   BENCHMARK INFORMATION
benchmark definition:    java-ranger-svcomp.xml
name:                    java-ranger-svcomp
run sets:                SVCOMP-ReachSafety-Java.ReachSafety-Java
date:                    Wed, 2026-07-01 20:20:56 +01
tool:                    Java Ranger 2025
tool executable:         /home/salmane/bin/jr-sv-comp
options:
resource limits:
- memory:                3000.0 MB
- time:                  900 s
- cpu cores:             4
hardware requirements:
- cpu cores:             4
- memory:                3000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    salmane-VivoBook-ASUSLaptop-X515EP-X515EP
os:                      Linux-6.17.0-35-generic-x86_64-with-glibc2.39
cpu:                     11th Gen Intel Core i5-1135G7 @ 2.40GHz
- cores:                 8
- max frequency:         4200.0 MHz
- turbo boost enabled:   True
ram:                     8005.804032 MB
------------------------------------------------------------



SVCOMP-ReachSafety-Java.ReachSafety-Java
Run set 1 of 1 with options '' and propertyfile 'None'

inputfile                                                                                                               status                       cpu time   wall time        host
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
jayhorn-recursive/Ackermann01.yml                                                                                       false                            7.48        2.89        None
jayhorn-recursive/Addition.yml                                                                                          unknown                        555.52      151.69        None
jayhorn-recursive/InfiniteLoop.yml                                                                                      false                            7.64        2.94        None
jayhorn-recursive/SatAckermann01.yml                                                                                    unknown                        469.59      132.05        None
jayhorn-recursive/SatAckermann02.yml                                                                                    unknown                        546.38      152.60        None
jayhorn-recursive/SatAckermann03.yml                                                                                    unknown                        470.23      131.66        None
jayhorn-recursive/SatAddition01.yml                                                                                     unknown                        511.66      139.90        None
jayhorn-recursive/SatEvenOdd01.yml                                                                                      true                            47.65       22.77        None
jayhorn-recursive/SatFibonacci01.yml                                                                                    true                           827.96      481.21        None
jayhorn-recursive/SatFibonacci02.yml                                                                                    true                             2.61        1.14        None
jayhorn-recursive/SatFibonacci03.yml                                                                                    true                           841.58      497.81        None
jayhorn-recursive/SatGcd.yml                                                                                            unknown                        553.28      150.65        None
jayhorn-recursive/SatHanoi01.yml                                                                                        true                           808.53      476.21        None
jayhorn-recursive/SatMccarthy91.yml                                                                                     true                           816.48      778.97        None
jayhorn-recursive/SatMultCommutative01.yml                                                                              unknown                        800.48      216.47        None
jayhorn-recursive/SatPrimes01.yml                                                                                       unknown                        800.82      211.63        None
jayhorn-recursive/UnsatAckermann01.yml                                                                                  unknown                        548.31      154.72        None
jayhorn-recursive/UnsatAddition01.yml                                                                                   unknown                        619.91      169.97        None
jayhorn-recursive/UnsatAddition02.yml                                                                                   unknown                        800.44      214.98        None
jayhorn-recursive/UnsatEvenOdd01.yml                                                                                    false                           11.77        4.30        None
jayhorn-recursive/UnsatFibonacci01.yml                                                                                  false                           10.42        3.78        None
jayhorn-recursive/UnsatFibonacci02.yml                                                                                  false                           10.87        3.66        None
jayhorn-recursive/UnsatMccarthy91.yml                                                                                   false                           10.56        3.81        None
jbmc-regression/ArithmeticException1.yml                                                                                false                            3.08        1.30        None
jbmc-regression/ArithmeticException5.yml                                                                                true                             3.61        1.64        None
jbmc-regression/ArithmeticException6.yml                                                                                false                            3.72        1.62        None
jbmc-regression/ArrayIndexOutOfBoundsException1.yml                                                                     false                           11.26        4.15        None
jbmc-regression/ArrayIndexOutOfBoundsException2.yml                                                                     false                           11.56        4.07        None
jbmc-regression/ArrayIndexOutOfBoundsException3.yml                                                                     false                            4.10        1.74        None
jbmc-regression/BufferedReaderReadLine.yml                                                                              false                           10.82        3.81        None
jbmc-regression/CharSequenceBug.yml                                                                                     false                            8.92        3.23        None
jbmc-regression/CharSequenceToString.yml                                                                                true                            10.45        3.73        None
jbmc-regression/ClassCastException1.yml                                                                                 false                            3.75        1.74        None
jbmc-regression/ClassCastException2.yml                                                                                 true                             2.68        1.16        None
jbmc-regression/ClassCastException3.yml                                                                                 false                            2.69        1.14        None
jbmc-regression/Class_method1.yml                                                                                       true                             3.07        1.31        None
jbmc-regression/Inheritance1.yml                                                                                        true                             2.95        1.28        None
jbmc-regression/NegativeArraySizeException1.yml                                                                         false                            2.93        1.27        None
jbmc-regression/NegativeArraySizeException2.yml                                                                         false                            2.84        1.24        None
jbmc-regression/NullPointerException1.yml                                                                               true                             2.76        1.18        None
jbmc-regression/NullPointerException2.yml                                                                               false                            3.36        1.42        None
jbmc-regression/NullPointerException3.yml                                                                               false                            3.24        1.44        None
jbmc-regression/NullPointerException4.yml                                                                               false                            2.91        1.28        None
jbmc-regression/RegexMatches01.yml                                                                                      true                             2.77        1.18        None
jbmc-regression/RegexMatches02.yml                                                                                      unknown                          3.97        1.81        None
jbmc-regression/RegexSubstitution01.yml                                                                                 true                             3.95        1.66        None
jbmc-regression/RegexSubstitution02.yml                                                                                 unknown                          3.42        1.47        None
jbmc-regression/RegexSubstitution03.yml                                                                                 true                             3.57        1.58        None
jbmc-regression/StaticCharMethods01.yml                                                                                 true                             2.85        1.24        None
jbmc-regression/StaticCharMethods02.yml                                                                                 false                           11.55        4.40        None
jbmc-regression/StaticCharMethods03.yml                                                                                 unknown                         12.46        4.62        None
jbmc-regression/StaticCharMethods04.yml                                                                                 false                            8.83        3.17        None
jbmc-regression/StaticCharMethods05.yml                                                                                 unknown                          3.59        1.56        None
jbmc-regression/StaticCharMethods06.yml                                                                                 unknown                          8.95        3.26        None
jbmc-regression/StringBuilderAppend01.yml                                                                               true                             9.14        3.23        None
jbmc-regression/StringBuilderAppend02.yml                                                                               unknown                          2.78        1.18        None
jbmc-regression/StringBuilderCapLen01.yml                                                                               true                             2.63        1.13        None
jbmc-regression/StringBuilderCapLen02.yml                                                                               false                            3.14        1.34        None
jbmc-regression/StringBuilderCapLen03.yml                                                                               false                            8.56        3.08        None
jbmc-regression/StringBuilderCapLen04.yml                                                                               unknown                          2.64        1.17        None
jbmc-regression/StringBuilderChars01.yml                                                                                true                             2.70        1.15        None
jbmc-regression/StringBuilderChars02.yml                                                                                false                            3.07        1.36        None
jbmc-regression/StringBuilderChars03.yml                                                                                unknown                          2.80        1.21        None
jbmc-regression/StringBuilderChars04.yml                                                                                unknown                          3.07        1.33        None
jbmc-regression/StringBuilderChars05.yml                                                                                unknown                          2.63        1.12        None
jbmc-regression/StringBuilderChars06.yml                                                                                unknown                          2.74        1.15        None
jbmc-regression/StringBuilderConstructors01.yml                                                                         true                             8.58        3.03        None
jbmc-regression/StringBuilderConstructors02.yml                                                                         unknown                          2.72        1.14        None
jbmc-regression/StringBuilderInsertDelete01.yml                                                                         true                             2.81        1.21        None
jbmc-regression/StringBuilderInsertDelete02.yml                                                                         unknown                          2.72        1.13        None
jbmc-regression/StringBuilderInsertDelete03.yml                                                                         unknown                          2.70        1.13        None
jbmc-regression/StringCompare01.yml                                                                                     true                             2.64        1.12        None
jbmc-regression/StringCompare02.yml                                                                                     unknown                          2.67        1.12        None
jbmc-regression/StringCompare03.yml                                                                                     unknown                          2.54        1.09        None
jbmc-regression/StringCompare04.yml                                                                                     unknown                          2.65        1.13        None
jbmc-regression/StringCompare05.yml                                                                                     false                            9.12        3.11        None
jbmc-regression/StringConcatenation01.yml                                                                               true                             3.44        1.54        None
jbmc-regression/StringConcatenation02.yml                                                                               false                            3.17        1.32        None
jbmc-regression/StringConcatenation03.yml                                                                               false                            3.04        1.28        None
jbmc-regression/StringConcatenation04.yml                                                                               false                            3.12        1.33        None
